SIGNNAME,BOROUGH,CLASS,ACRES,latitude,longitude
Triangle,X,PARK,0.054,40.82456416140999,-73.91085565592608
Schomberg Academy Garden,X,PARK,0.032,40.8233920725142,-73.89902890473256
Sternberg Park,B,PARK,4.044,40.70622664323319,-73.9472441254592
Seagirt Ave Wetlands,Q,PARK,5.323,40.596871774439,-73.7401570186743
Father Reilly Square,Q,PARK,0.03,40.72272187345232,-73.73613278671245
Barclay Triangle,Q,PARK,0.047,40.76137366317378,-73.86703439091407
St. Mary's Park,B,PARK,0.367,40.67578557812161,-73.99754049916186
Steuben Playground,B,PARK,1.171,40.69744491942908,-73.96345807768023
Benjamin Gladstone Square,X,PARK,0.2,40.82536368715939,-73.8909928416846
Wood Park,X,PARK,0.191,40.83515984757005,-73.86532397060893
Bicentennial Veterans Memorial Park,X,PARK,9.395,40.823505190722386,-73.81385752118965
Evelina Antonetty Playground,X,PARK,0.696,40.817539280923356,-73.92831642875284
Virginia Park,X,PARK,0.918,40.833479038691465,-73.86217975574513
D'Onofrio Square,X,PARK,0.38,40.88013930040819,-73.86495306420909
Granja Farm OTF,X,PARK,0.375,40.81569713623657,-73.91151990908531
Colgate Close,X,PARK,1.871,40.824157673655364,-73.88148828251043
Lyons Square Playground,X,PARK,1.322,40.82277492760863,-73.88807089839992
Pontiac Playground,X,PARK,0.913,40.81425170868223,-73.90823105581644
Park,X,PARK,0.006,40.82638224378994,-73.8563287008201
Neponsit Mall,Q,PARK,0.76,40.570531717272154,-73.8612285027205
Andrew Haswell Green Park,M,PARK,1.984,40.75950709706678,-73.95762528162179
Peretz Square,M,PARK,0.192,40.72296751269293,-73.98803522130217
Sakura Park,M,PARK,2.067,40.81306920793105,-73.96207854375666
Technical Sergeant Thomas J. Davey Triangle,Q,PARK,0.126,40.72635103279925,-73.90059924729935
Hull Triangle,Q,PARK,0.158,40.72540699012502,-73.90155017960191
Sergeant Collins Triangle,Q,PARK,0.118,40.751787439508405,-73.90290003838717
Whitefish Triangle,Q,PARK,0.185,40.72518257190957,-73.89889472622917
Sutton Parks,M,PARK,0.85,40.75615456081902,-73.96096706171495
Saw Mill Playground,X,PARK,0.92,40.80891310530629,-73.91937329445453
Beaver Noll Park,B,PARK,0.436,40.699669194833454,-73.93619001228002
Captain William Harry Thompson Playground,X,PARK,1,40.83434856167162,-73.87776458158217
Peter Chahales Park,Q,PARK,0.074,40.724857202686565,-73.89434937025676
Gwen Ifill Park,Q,PARK,16.439,40.678423451307594,-73.76817347596989
Bill Bojangles Robinson Playground,M,PARK,0.172,40.825279701700204,-73.93729268838922
Park,B,PARK,0.002,40.61637452931941,-74.02700373472295
Sitting Area 127 CXXVII,Q,PARK,0.17,40.72501610554962,-73.89213581580505
Quick Brown Fox Triangle,Q,PARK,0.07,40.7275372664182,-73.88878535321314
The Pearly Gates,X,PARK,0.659,40.83872979186936,-73.8455578665813
Telephone Playground,Q,PARK,1.056,40.738463121669064,-73.75659166502003
The Feeding Tree,B,PARK,0.039,40.68596691715226,-73.94471082014479
Rainbow Garden of Life and Health,X,PARK,0.248,40.82150774938193,-73.9155652194613
Rappaport Playground,B,PARK,1.148,40.63697479616258,-74.00069006208022
Whole Neighborhood Garden,B,PARK,0.091,40.689792639497774,-73.9548678896328
Orient Grove,B,PARK,0.149,40.71481036107667,-73.940333716646
Cambria Playground,Q,PARK,4.635,40.68914232853151,-73.74292954840512
Colonel David Marcus Playground,B,PARK,1.974,40.60988005710847,-73.96933662772318
Park,Q,PARK,0.001,40.707657760891884,-73.85901226045998
Corporal John A. Seravalli Playground,M,PARK,1.143,40.73907115923778,-74.00479367092605
Samuel Seabury Playground,M,PARK,0.786,40.78534705260183,-73.95082672175218
Sam Leggio Triangle,B,PARK,0.011,40.685076371693064,-73.88195488638507
Admiral Triangle,B,PARK,0.433,40.67692779207551,-74.00107988897739
Maurice A FitzGerald Playground,Q,PARK,1.201,40.69031876258097,-73.83975342662177
Judge Moses Weinstein Playground,Q,PARK,3.25,40.71801826668121,-73.8205852842994
Park,X,PARK,0.03,40.83934148699241,-73.8833415257315
Corona Health Sanctuary,Q,PARK,0.101,40.74377214154274,-73.85833036096486
Park,Q,PARK,0.022,40.734051330298676,-73.86565592497348
Kimlau Square,M,PARK,0.242,40.71340952842076,-73.99804353412965
Joyce Kilmer Park,X,PARK,6.882,40.82852586733417,-73.92266031459098
Sheridan Square Viewing Garden,M,PARK,0.07,40.73301025270764,-74.00211684867092
Ida Court,R,PARK,1.6,40.53839630895939,-74.18713696913669
Lawrence Triangle,Q,PARK,0.138,40.75591433452537,-73.81572855328831
Drumgoole Tot Lot,R,PARK,0.636,40.549400952365524,-74.17989045101116
Veteran's Square,Q,PARK,0.1,40.74770156415617,-73.86328629931869
New Dorp Park,R,PARK,0.785,40.5697882709805,-74.11841380482167
Sohncke Square,Q,PARK,0.044,40.74550756934438,-73.90630792544528
Sixteen Lindens Triangle,B,PARK,0.487,40.584367668721434,-73.95238332160132
Sitting Area,Q,PARK,1.16,40.776028796419006,-73.92303824124595
Howard Malls,B,PARK,0.191,40.66394098561333,-73.91987768727778
Aqueduct Walk,X,PARK,8.607,40.85669186791869,-73.90920423314239
Park,R,PARK,0.006,40.54415402077567,-74.18399065272452
Park,R,PARK,0.735,40.537124520079956,-74.19095861740739
Park,R,PARK,0.554,40.54080692135372,-74.18498020846062
Spring Creek Park,B,PARK,42.583,40.65200966136053,-73.87150422969069
Blueberry Park,R,PARK,0.724,40.52857305635602,-74.16020145027309
Kaltenmeier Playground,R,PARK,1.02,40.61482923172551,-74.06879987148945
Bedford Green,R,PARK,0.11,40.61801243341173,-74.08517160609912
Memorial Gore,B,PARK,0.066,40.714848677107135,-73.94234557799275
Westerleigh Park,R,PARK,2.889,40.619825867968814,-74.13445965567213
Great Kills Veterans Playground,R,PARK,1.065,40.54703087036003,-74.15179768678603
Gaeta Park,R,PARK,1.43,40.61005770111764,-74.14942501249355
Christopher J. Igneri Playground,R,PARK,1.145,40.60869014483512,-74.11957806856684
Barrett Park,R,PARK,8.108,40.62513498406185,-74.11556949433152
Von Briesen Park,R,PARK,13.938,40.60775144416758,-74.05862257880281
Harris Brothers Park,R,PARK,2.288,40.53307183774462,-74.20230791538386
Bobbie Lewis Jr. Playground,R,PARK,0.271,40.636563703070216,-74.16047117942543
Richmond Terrace Park,R,PARK,11.193,40.63811069479579,-74.15374270806251
Corona Plaza,Q,PARK,0.041,40.74971976698699,-73.86252792852672
Fort Greene Park,B,PARK,30.168,40.691524913026164,-73.9755111952316
Bruckner Playground,X,PARK,1.053,40.82677292603816,-73.8285754017359
El Sol Brilliante Jr,M,PARK,0.059,40.728583278723534,-73.97953392094179
Dr. Ronald McNair Park,B,PARK,1.361,40.670701717017465,-73.96200070923611
